         4809 function calls (4767 primitive calls) in 0.039 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       33    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Register.py:16(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 C:\Python\Python39\lib\encodings\cp1252.py:18(encode)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        8    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Memory.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Decode.py:1(<module>)
       13    0.000    0.000    0.000    0.000 C:\Python\Python39\lib\encodings\cp1252.py:22(decode)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Port.py:44(OP_Display_Data)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       23    0.000    0.000    0.000    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Memory.py:31(Get_Data)
       24    0.000    0.000    0.000    0.000 {built-in method from_bytes}
